uri,ai,firstAuthor
http://purl.org/polis/ar/initiatives#Initiative_304141,1,1
http://purl.org/polis/ar/initiatives#Initiative_304147,1,1
http://purl.org/polis/ar/initiatives#Initiative_304172,1,1
http://purl.org/polis/ar/initiatives#Initiative_263595,1,1
http://purl.org/polis/ar/initiatives#Initiative_304313,1,1
http://purl.org/polis/ar/initiatives#Initiative_304141,1,1
http://purl.org/polis/ar/initiatives#Initiative_263508,0,0
http://purl.org/polis/ar/initiatives#Initiative_314924,0,0
http://purl.org/polis/ar/initiatives#Initiative_263801,0,0
http://purl.org/polis/ar/initiatives#Initiative_283986,0,0
http://purl.org/polis/ar/initiatives#Initiative_314416,0,0
http://purl.org/polis/ar/initiatives#Initiative_263780,0,0
http://purl.org/polis/ar/initiatives#Initiative_314662,1,1
http://purl.org/polis/ar/initiatives#Initiative_314488,1,1
http://purl.org/polis/ar/initiatives#Initiative_283989,1,1
http://purl.org/polis/ar/initiatives#Initiative_284049,1,1
http://purl.org/polis/ar/initiatives#Initiative_263813,1,1
http://purl.org/polis/ar/initiatives#Initiative_314689,1,1
http://purl.org/polis/ar/initiatives#Initiative_263669,0,0
http://purl.org/polis/ar/initiatives#Initiative_314659,0,0
http://purl.org/polis/ar/initiatives#Initiative_314925,0,0
http://purl.org/polis/ar/initiatives#Initiative_314935,0,0
http://purl.org/polis/ar/initiatives#Initiative_263584,0,0
http://purl.org/polis/ar/initiatives#Initiative_314697,0,0
